particle_id,longitude,latitude,mass,water_fraction,age_hours
347,70.73852744205634,20.880471650578947,1.0,0.0,36.0
348,70.74544502711831,20.843096198561582,1.0,0.0,36.0
349,70.73564248523829,20.864550889268305,1.0,0.0,36.0
350,70.71461260905556,20.841106354620464,1.0,0.0,36.0
351,70.72106320074198,20.800500202540388,1.0,0.0,36.0
352,70.74873874059776,20.8245530298149,1.0,0.0,36.0
353,70.7440132635806,20.8358828255951,1.0,0.0,36.0
354,70.73861364626326,20.832041988011802,1.0,0.0,36.0
355,70.71811400705452,20.875195538113868,1.0,0.0,36.0
356,70.72953248449937,20.8567859412617,1.0,0.0,36.0
357,70.70807966148472,20.869731036273457,1.0,0.0,36.0
358,70.73760783377595,20.839073493848634,1.0,0.0,36.0
359,70.75140741799541,20.840712922096643,1.0,0.0,36.0
360,70.74035661742462,20.841810237204378,1.0,0.0,36.0
361,70.71821813796109,20.85055437081714,1.0,0.0,36.0
362,70.74791925740018,20.853993584066263,1.0,0.0,36.0
